🎬测试1,#genre#
小鬼头,http://124.248.69.76:35455/huya/11352963
刘德华,http://124.248.69.76:35455/huya/11342424
许冠英,http://124.248.69.76:35455/huya/11601972
李连杰,http://124.248.69.76:35455/huya/11342390
甄子丹,http://124.248.69.76:35455/huya/11352935
星爷,http://124.248.69.76:35455/huya/11342412
英叔,http://124.248.69.76:35455/huya/11342421
成龙,http://124.248.69.76:35455/huya/11342386
王晶,http://124.248.69.76:35455/huya/11602058
沈腾,http://124.248.69.76:35455/huya/11601968
黄渤,http://124.248.69.76:35455/huya/11352876
吴京,http://124.248.69.76:35455/huya/11602041
强森,http://124.248.69.76:35455/huya/21059581
怪兽,http://124.248.69.76:35455/huya/21059577
武侠,http://124.248.69.76:35455/huya/11342427
罪犯,http://124.248.69.76:35455/huya/11352962
枪战,http://124.248.69.76:35455/huya/21059579
盗墓,http://124.248.69.76:35455/huya/21059552
贺岁,http://124.248.69.76:35455/huya/11601971
玄幻,http://124.248.69.76:35455/huya/11342414
喜剧,http://124.248.69.76:35455/huya/11352877
港片,http://124.248.69.76:35455/huya/11602043
国产,http://124.248.69.76:35455/huya/11352973
欢乐剧场,http://124.248.69.76:35455/douyu/7489563
喜剧专场,http://124.248.69.76:35455/huya/11602044
高分动作,http://124.248.69.76:35455/huya/11352884
不挤影院,http://124.248.69.76:35455/huya/11352897
黑帮斗争,http://124.248.69.76:35455/huya/11342419
嫣然影厅,http://124.248.69.76:35455/huya/11601977
女神系列,http://124.248.69.76:35455/huya/11336571
经典女神,http://124.248.69.76:35455/huya/11352909
许氏三杰,http://124.248.69.76:35455/huya/11602033
经典港片,http://124.248.69.76:35455/huya/11352965
镖行天下,http://124.248.69.76:35455/huya/11352969
蘑菇影厅,http://124.248.69.76:35455/huya/11601981
搞笑恐怖,http://124.248.69.76:35455/huya/11601960
死神来了,http://124.248.69.76:35455/huya/11352903

🎬軍G∈◎影視,#genre#
Now星影台,http://111.160.76.101:80/香蕉哥/now星影.live.flv
Now爆谷台,http://111.160.76.101:80/香蕉哥/now爆谷.live.flv
CHC影迷电影,mitv://generationnexxxt.com:19806/bc7bf77f1cb5401389500427f060caa1
CHC动作电影,mitv://generationnexxxt.com:19806/ab40a3bbbef244a1b4c8c0f841f0561f
CHC家庭影院,mitv://generationnexxxt.com:19806/53491943aa934355b381bc8684bc4fc2
邵氏影院,https://www.goodiptv.club/douyu/4246519
邵氏影院,http://159.75.85.63:35455/douyu/4246519 
邵氏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
真武侠台,http://cfss.cc/cdn/hy/29169712.m3u8
真武侠台,http://live.dxms.top/dwy/zwx.php
经典武侠台,http://live.dxms.top/dwy/jdgf.php
经典武侠台,http://cfss.cc/cdn/yy/1355002394.flv
星光综合台,https://bd-flv.yy.com/live/15013_xv_1353422557_1353422557_0_0_0-15013_xa_1353422557_1353422557_0_0_0-0-0-0-0-0-1721320388893445.flv?codec=orig&appid=15013&rts_tk=854d26e84fb8b1ec527ae901a0fd6ac2&secret=5b188920739eca02041cfd05c2439d45&t=1721544850&stream_key=15013_xv_1353422557_1353422557_0_0_0&r_stream_key=15013_xa_1353422557_1353422557_0_0_0&channelid=1353422557&mtk=1&line_seq=6&cp_id=4&rts=1&ctx=eyJydHNfYXV0aCI6MiwiZGVmX3Bhc3MiOjF9&r=enter&playeruid=0&uuid=9870edde-08b9-4e81-8b12-2d8de4645ab8
星光综合台,http://11.xmyxc.cn/api/php/yy.php?id=1353422557
星光电影台,http://live.dxms.top/dwy/xgzht.php
星光电影台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
重温经典,http://117.114.153.1:8180/TV00000000000000000007@HHZT
1905电影(亚洲),http://live.dxms.top/dwy/hyyy.php
1905电影(国际),http://xxw.me0.cn/1905dy.php?id=1905b
1905电影(亚洲),http://xxw.me0.cn/1905dy.php?id=1905a
